"BEŞİKTAŞ BELEDİYESİ ÇİLEKLİ SAHASI","26 Aralık 2015 Cumartes","12:00 ","BEŞİKTAŞ A.Ş. - NUSAYBİN GENÇLİKSPOR ","Kdn. ","KADINLAR LİG","GÖKHAN GÜREL","TUĞÇE KAMALI","SAVAŞ ÇELİK"
"BEŞİKTAŞ BELEDİYESİ ÇİLEKLİ SAHASI","26 Aralık 2015 Cumartes","14:00 ","ORTAKÖY - GÜNGÖRENSPOR ","S.AL.","1.GRUP ","MURAT YAROĞLU","TEKİN TEPE ","DOĞANCAN MERCAN"
"BEŞİKTAŞ BELEDİYESİ ÇİLEKLİ SAHASI","26 Aralık 2015 Cumartes","16:00 ","AKATLAR - HAMİDİYESPOR ","1.AL.","13.GRUP ","DENİZ HASANOĞLU","DOĞAN ALTUNBAŞ","HÜSEYİN ONUR DEMİREL"
"BEŞİKTAŞ BELEDİYESİ ÇİLEKLİ SAHASI","26 Aralık 2015 Cumartes","18:00 ","YENİ LEVENT KONAKLAR - MERTER ","1.AL.","9.GRUP ","HAKAN KARABURUNOĞLU","DOĞAN ALTUNBAŞ","HÜSEYİN ONUR DEMİREL"
"BEYOĞLU STADI","26 Aralık 2015 Cumartes","09:00 ","ÇIKSALIN - CEVİZLİSPOR ","U-16 ","10.GRUP ","UTKU ANIL SAYKARA","BATUHAN KAVLAK","FURKAN KUŞÇUOĞLU"
"BEYOĞLU STADI","26 Aralık 2015 Cumartes","10:45 ","BEYOĞLU YENİÇARŞI - SARIYER F.S.M. ","U-16 ","8.GRUP ","AYHAN AKDENİZ","BATUHAN KAVLAK","FURKAN KUŞÇUOĞLU"
"BEYOĞLU STADI","26 Aralık 2015 Cumartes","12:30 ","SÜTLÜCE - İSTANBUL KONYA ","1.AL.","9.GRUP ","GÖKMEN DAĞ","İLKER YEŞİL","HASAN SOLMAZ"
"BEYOĞLU STADI","26 Aralık 2015 Cumartes","14:30 ","HASKÖY - SİLİVRİ ALİBEY ","S.AL.","5.GRUP ","MUSTAFA CAN ESEN","BARBAROS BAYRAK","YASİN TURNA"
"CEBECİ SPOR KOMPLEKSİ","26 Aralık 2015 Cumartes","12:00 ","SEKBANLAR SPOR - BAYRAMPAŞA TEKNİK ","1.AL.","7.GRUP ","SERCAN YALÇIN (AVR)","BUĞRA AYDINER","MERTCAN AYOĞLU"
"CEBECİ SPOR KOMPLEKSİ","26 Aralık 2015 Cumartes","14:00 ","MERKEZ KAYAŞEHİR - ÇATALCA ÇİFTLİKKÖY ","1.AL.","1.GRUP ","İSMAİL BOZKUŞ","BUĞRA AYDINER","MERTCAN AYOĞLU"
"CFS HALI SAHA","26 Aralık 2015 Cumartes","14:00 ","CFS BAĞCILAR - BAĞCILAR ORDU ","U-12 ","6.GRUP ","MESUT YILMAZ",NULL,NULL
"CFS HALI SAHA","26 Aralık 2015 Cumartes","15:00 ","ÇAĞRIM MARMARA 1907 - BAĞCILAR EVREN ","U-12 ","6.GRUP ","MESUT YILMAZ",NULL,NULL
"ÇIKSALIN SAHASI","26 Aralık 2015 Cumartes","09:00 ","OKMEYDANI FETİH - TÜRK TELEKOMSPOR ","U-12 ","8.GRUP ","RUKEN DAĞ",NULL,NULL
"ÇIKSALIN SAHASI","26 Aralık 2015 Cumartes","10:00 ","FERİKÖY - HALİDE EDİP ADIVAR ","U-12 ","8.GRUP ","RUKEN DAĞ",NULL,NULL
"ÇIKSALIN SAHASI","26 Aralık 2015 Cumartes","11:00 ","EROKSPOR - ULUSSPOR ","U-12 ","8.GRUP ","SERKAN TOPTAŞ",NULL,NULL
"ÇIKSALIN SAHASI","26 Aralık 2015 Cumartes","12:00 ","ÇIKSALIN - YENİ LEVENT KONAKLAR ","U-12 ","8.GRUP ","SERKAN TOPTAŞ",NULL,NULL
"ÇIKSALIN SAHASI","26 Aralık 2015 Cumartes","13:00 ","OKSPOR - SİMURG SPOR ","U-12 ","8.GRUP ","SERKAN TOPTAŞ",NULL,NULL
"ÇIKSALIN SAHASI","26 Aralık 2015 Cumartes","14:00 ","PİYALEPAŞA - MAHMUTŞEVKETPAŞA ","U-12 ","8.GRUP ","BURAK COŞKUN",NULL,NULL
"ÇIKSALIN SAHASI","26 Aralık 2015 Cumartes","15:00 ","HALİLRIFATPAŞA - YILDIZ ","U-12 ","8.GRUP ","BURAK COŞKUN",NULL,NULL
"EROKSPOR TESİSLERİ","26 Aralık 2015 Cumartes","14:00 ","EROKSPOR - RAMİ ","S.AL.","1.GRUP ","MEHMET MURAT KURT","ÖZGÜR TOLGA ÖZCAN","KORAY KOÇAK"
"ESENYURT BELEDİYE STADI","26 Aralık 2015 Cumartes","10:45 ","YEŞİLESENYURT - BEYLİKGÜCÜSPOR ","U-16 ","4.GRUP ","KEMAL DOĞAN","BURAK TOLGA AYDINOĞLU","İBRAHİM ŞİMŞEK"
"ESENYURT BELEDİYE STADI","26 Aralık 2015 Cumartes","12:30 ","ESENYURT ACAR - ESENYURT ","U-14 ","3.GRUP ","BURAK TOLGA AYDINOĞLU",NULL,NULL
"ESENYURT BELEDİYE STADI","26 Aralık 2015 Cumartes","14:30 ","ESENYURT İNCİRTEPE - ALTINTEPSİ MAKEL ","S.AL.","3.GRUP ","SERHAT TAN","CENGİZ ATEŞ","EMRAH SEVER"
"EYÜP BELEDİYESİ BAHARİYE STADI","26 Aralık 2015 Cumartes","12:00 ","EYÜPSPOR - BEYLERBEYİ ","CC.U1","Coca-Cola U1","KADİR AKPINAR","MUAMMER SAĞLAM","CEM YEŞİL"
"EYÜP BELEDİYESİ BAHARİYE STADI","26 Aralık 2015 Cumartes","14:00 ","EYÜPSPOR - BEYLERBEYİ ","CC.U1","Coca-Cola U1","FATİH ÖLMEZ","MUAMMER SAĞLAM","CEM YEŞİL"
